Using CUDA...
Writing logs to logs/CNN_bn_epochs=50_dropout=0.5_bs=32_optim=SGD_decay=0.001_lr=0.001_momentum=0.9_mode=MC_run_3
epoch: [0], step: [299/1581], batch loss: 2.10122, batch accuracy: 21.88, data load time: 0.00191, step time: 0.01066,
epoch: [0], step: [599/1581], batch loss: 1.87193, batch accuracy: 28.12, data load time: 0.00025, step time: 0.01458,
epoch: [0], step: [899/1581], batch loss: 1.79404, batch accuracy: 37.50, data load time: 0.00022, step time: 0.00932,
epoch: [0], step: [1199/1581], batch loss: 1.65490, batch accuracy: 43.75, data load time: 0.00381, step time: 0.00851,
epoch: [0], step: [1499/1581], batch loss: 2.19659, batch accuracy: 40.62, data load time: 0.00024, step time: 0.01162,
epoch: [1], step: [218/1581], batch loss: 1.52242, batch accuracy: 31.25, data load time: 0.00026, step time: 0.01428,
epoch: [1], step: [518/1581], batch loss: 1.48309, batch accuracy: 43.75, data load time: 0.00364, step time: 0.00907,
epoch: [1], step: [818/1581], batch loss: 1.24665, batch accuracy: 53.12, data load time: 0.00025, step time: 0.00826,
epoch: [1], step: [1118/1581], batch loss: 1.42098, batch accuracy: 59.38, data load time: 0.00023, step time: 0.00840,
epoch: [1], step: [1418/1581], batch loss: 0.97224, batch accuracy: 65.62, data load time: 0.00026, step time: 0.00848,
epoch: [2], step: [137/1581], batch loss: 1.54643, batch accuracy: 43.75, data load time: 0.00022, step time: 0.00890,
epoch: [2], step: [437/1581], batch loss: 0.96557, batch accuracy: 71.88, data load time: 0.00023, step time: 0.01244,
epoch: [2], step: [737/1581], batch loss: 0.95153, batch accuracy: 71.88, data load time: 0.00022, step time: 0.00821,
epoch: [2], step: [1037/1581], batch loss: 1.43541, batch accuracy: 40.62, data load time: 0.00027, step time: 0.00850,
epoch: [2], step: [1337/1581], batch loss: 1.05570, batch accuracy: 56.25, data load time: 0.00023, step time: 0.00849,
epoch: [3], step: [56/1581], batch loss: 1.49963, batch accuracy: 43.75, data load time: 0.00019, step time: 0.00835,
epoch: [3], step: [356/1581], batch loss: 1.17327, batch accuracy: 43.75, data load time: 0.00433, step time: 0.00853,
epoch: [3], step: [656/1581], batch loss: 0.91058, batch accuracy: 81.25, data load time: 0.00023, step time: 0.00833,
epoch: [3], step: [956/1581], batch loss: 1.14327, batch accuracy: 59.38, data load time: 0.00024, step time: 0.00840,
epoch: [3], step: [1256/1581], batch loss: 0.75587, batch accuracy: 78.12, data load time: 0.00027, step time: 0.00915,
epoch: [3], step: [1556/1581], batch loss: 0.90197, batch accuracy: 62.50, data load time: 0.00013, step time: 0.00729,
epoch: [4], step: [275/1581], batch loss: 0.62232, batch accuracy: 65.62, data load time: 0.00023, step time: 0.00823,
epoch: [4], step: [575/1581], batch loss: 0.80567, batch accuracy: 71.88, data load time: 0.00022, step time: 0.00944,
epoch: [4], step: [875/1581], batch loss: 0.70730, batch accuracy: 81.25, data load time: 0.00025, step time: 0.00844,
epoch: [4], step: [1175/1581], batch loss: 0.74953, batch accuracy: 71.88, data load time: 0.00320, step time: 0.00979,
epoch: [4], step: [1475/1581], batch loss: 0.62634, batch accuracy: 78.12, data load time: 0.00022, step time: 0.00880,
validation loss: 1.02174, accuracy: 69.81, class_accuracy: [83.05084745762711, 84.21052631578948, 72.64957264957265, 50.442477876106196, 53.389830508474574, 81.65137614678899, 100.0, 81.41592920353982, 44.89795918367347, 73.72881355932203]
class_avg: 72.54373329008942
epoch: [5], step: [194/1581], batch loss: 0.44565, batch accuracy: 87.50, data load time: 0.00023, step time: 0.01099,
epoch: [5], step: [494/1581], batch loss: 0.56948, batch accuracy: 75.00, data load time: 0.00357, step time: 0.00851,
epoch: [5], step: [794/1581], batch loss: 0.69932, batch accuracy: 84.38, data load time: 0.00033, step time: 0.00842,
epoch: [5], step: [1094/1581], batch loss: 0.66475, batch accuracy: 68.75, data load time: 0.00023, step time: 0.01040,
epoch: [5], step: [1394/1581], batch loss: 1.20610, batch accuracy: 62.50, data load time: 0.00332, step time: 0.00833,
epoch: [6], step: [113/1581], batch loss: 0.68859, batch accuracy: 71.88, data load time: 0.00024, step time: 0.01092,
epoch: [6], step: [413/1581], batch loss: 1.15371, batch accuracy: 62.50, data load time: 0.00023, step time: 0.01286,
epoch: [6], step: [713/1581], batch loss: 0.93357, batch accuracy: 68.75, data load time: 0.00349, step time: 0.00938,
epoch: [6], step: [1013/1581], batch loss: 0.63954, batch accuracy: 81.25, data load time: 0.00321, step time: 0.00943,
epoch: [6], step: [1313/1581], batch loss: 0.64338, batch accuracy: 71.88, data load time: 0.00023, step time: 0.01130,
epoch: [7], step: [32/1581], batch loss: 0.78407, batch accuracy: 68.75, data load time: 0.00303, step time: 0.01019,
epoch: [7], step: [332/1581], batch loss: 0.56250, batch accuracy: 78.12, data load time: 0.00323, step time: 0.00969,
epoch: [7], step: [632/1581], batch loss: 0.88254, batch accuracy: 62.50, data load time: 0.00025, step time: 0.01344,
epoch: [7], step: [932/1581], batch loss: 0.77713, batch accuracy: 78.12, data load time: 0.00022, step time: 0.01281,
epoch: [7], step: [1232/1581], batch loss: 0.52441, batch accuracy: 87.50, data load time: 0.00023, step time: 0.00837,
epoch: [7], step: [1532/1581], batch loss: 0.99585, batch accuracy: 71.88, data load time: 0.00019, step time: 0.00837,
