Using CUDA...
Writing logs to logs/CNN_bn_epochs=50_dropout=0.5_bs=32_lr=0.001_momentum=0.9_mode=LMC_run_9
epoch: [0], step: [299/1581], batch loss: 1.84475, batch accuracy: 25.00, data load time: 0.00390, step time: 0.01190,
epoch: [0], step: [599/1581], batch loss: 1.78927, batch accuracy: 34.38, data load time: 0.00319, step time: 0.00943,
epoch: [0], step: [899/1581], batch loss: 1.65432, batch accuracy: 53.12, data load time: 0.00024, step time: 0.00929,
epoch: [0], step: [1199/1581], batch loss: 1.38961, batch accuracy: 34.38, data load time: 0.00022, step time: 0.01063,
epoch: [0], step: [1499/1581], batch loss: 1.18192, batch accuracy: 46.88, data load time: 0.00025, step time: 0.00924,
epoch: [1], step: [218/1581], batch loss: 1.18486, batch accuracy: 56.25, data load time: 0.00023, step time: 0.01006,
epoch: [1], step: [518/1581], batch loss: 1.46326, batch accuracy: 59.38, data load time: 0.00024, step time: 0.01047,
epoch: [1], step: [818/1581], batch loss: 1.00279, batch accuracy: 71.88, data load time: 0.00021, step time: 0.00929,
epoch: [1], step: [1118/1581], batch loss: 0.81842, batch accuracy: 71.88, data load time: 0.00024, step time: 0.00997,
epoch: [1], step: [1418/1581], batch loss: 0.90874, batch accuracy: 68.75, data load time: 0.00025, step time: 0.01219,
epoch: [2], step: [137/1581], batch loss: 0.69004, batch accuracy: 81.25, data load time: 0.00025, step time: 0.01069,
epoch: [2], step: [437/1581], batch loss: 0.84655, batch accuracy: 65.62, data load time: 0.00495, step time: 0.01101,
epoch: [2], step: [737/1581], batch loss: 0.97123, batch accuracy: 71.88, data load time: 0.00030, step time: 0.01082,
epoch: [2], step: [1037/1581], batch loss: 0.75912, batch accuracy: 78.12, data load time: 0.00034, step time: 0.01116,
epoch: [2], step: [1337/1581], batch loss: 0.81363, batch accuracy: 75.00, data load time: 0.00021, step time: 0.01072,
epoch: [3], step: [56/1581], batch loss: 1.00651, batch accuracy: 65.62, data load time: 0.00431, step time: 0.00948,
epoch: [3], step: [356/1581], batch loss: 0.79407, batch accuracy: 68.75, data load time: 0.00426, step time: 0.00949,
epoch: [3], step: [656/1581], batch loss: 0.53360, batch accuracy: 78.12, data load time: 0.00427, step time: 0.00942,
epoch: [3], step: [956/1581], batch loss: 0.35094, batch accuracy: 87.50, data load time: 0.00022, step time: 0.00970,
epoch: [3], step: [1256/1581], batch loss: 0.50906, batch accuracy: 84.38, data load time: 0.00022, step time: 0.01098,
epoch: [3], step: [1556/1581], batch loss: 0.67564, batch accuracy: 75.00, data load time: 0.00012, step time: 0.00825,
epoch: [4], step: [275/1581], batch loss: 0.46385, batch accuracy: 84.38, data load time: 0.00023, step time: 0.01014,
epoch: [4], step: [575/1581], batch loss: 0.33632, batch accuracy: 81.25, data load time: 0.00026, step time: 0.01198,
epoch: [4], step: [875/1581], batch loss: 0.40259, batch accuracy: 84.38, data load time: 0.00020, step time: 0.01094,
epoch: [4], step: [1175/1581], batch loss: 0.78966, batch accuracy: 75.00, data load time: 0.00554, step time: 0.01310,
epoch: [4], step: [1475/1581], batch loss: 0.25336, batch accuracy: 90.62, data load time: 0.00020, step time: 0.01632,
validation loss: 1.17991, accuracy: 64.19, class_accuracy: [50.714285714285715, 78.04878048780488, 85.30259365994236, 57.52212389380531, 73.83900928792569, 47.21362229102167, 88.23529411764706, 80.48387096774194, 48.924731182795696, 59.857142857142854]
epoch: [5], step: [194/1581], batch loss: 0.57069, batch accuracy: 81.25, data load time: 0.00023, step time: 0.00973,
epoch: [5], step: [494/1581], batch loss: 0.55755, batch accuracy: 84.38, data load time: 0.00024, step time: 0.01129,
epoch: [5], step: [794/1581], batch loss: 0.54985, batch accuracy: 71.88, data load time: 0.00024, step time: 0.01025,
epoch: [5], step: [1094/1581], batch loss: 0.35718, batch accuracy: 81.25, data load time: 0.00025, step time: 0.00938,
epoch: [5], step: [1394/1581], batch loss: 0.38210, batch accuracy: 90.62, data load time: 0.00400, step time: 0.01374,
epoch: [6], step: [113/1581], batch loss: 0.33398, batch accuracy: 87.50, data load time: 0.00024, step time: 0.00917,
epoch: [6], step: [413/1581], batch loss: 0.85709, batch accuracy: 81.25, data load time: 0.00021, step time: 0.00943,
epoch: [6], step: [713/1581], batch loss: 0.30873, batch accuracy: 90.62, data load time: 0.00024, step time: 0.00913,
epoch: [6], step: [1013/1581], batch loss: 0.51079, batch accuracy: 81.25, data load time: 0.00025, step time: 0.01111,
epoch: [6], step: [1313/1581], batch loss: 0.86808, batch accuracy: 78.12, data load time: 0.00022, step time: 0.00928,
