Using CUDA...
Writing logs to logs/CNN_bn_epochs=50_dropout=0.5_bs=32_optim=SGD_decay=0.01_lr=0.001_momentum=0.9_mode=LMC_run_0
epoch: [0], step: [299/1581], batch loss: 1.87636, batch accuracy: 34.38, data load time: 0.00021, step time: 0.00768,
epoch: [0], step: [599/1581], batch loss: 1.62486, batch accuracy: 37.50, data load time: 0.00023, step time: 0.00840,
epoch: [0], step: [899/1581], batch loss: 1.52542, batch accuracy: 40.62, data load time: 0.00023, step time: 0.00921,
epoch: [0], step: [1199/1581], batch loss: 1.24403, batch accuracy: 65.62, data load time: 0.00022, step time: 0.01118,
epoch: [0], step: [1499/1581], batch loss: 1.19465, batch accuracy: 59.38, data load time: 0.00023, step time: 0.00801,
epoch: [1], step: [218/1581], batch loss: 0.91112, batch accuracy: 75.00, data load time: 0.00025, step time: 0.00981,
epoch: [1], step: [518/1581], batch loss: 1.10774, batch accuracy: 53.12, data load time: 0.00026, step time: 0.00798,
epoch: [1], step: [818/1581], batch loss: 1.69140, batch accuracy: 43.75, data load time: 0.00024, step time: 0.00833,
epoch: [1], step: [1118/1581], batch loss: 1.01242, batch accuracy: 53.12, data load time: 0.00024, step time: 0.00818,
epoch: [1], step: [1418/1581], batch loss: 0.81611, batch accuracy: 59.38, data load time: 0.00023, step time: 0.00973,
epoch: [2], step: [137/1581], batch loss: 1.14770, batch accuracy: 56.25, data load time: 0.00020, step time: 0.00947,
epoch: [2], step: [437/1581], batch loss: 1.28756, batch accuracy: 56.25, data load time: 0.00023, step time: 0.00871,
epoch: [2], step: [737/1581], batch loss: 0.85158, batch accuracy: 71.88, data load time: 0.00024, step time: 0.00815,
epoch: [2], step: [1037/1581], batch loss: 0.71361, batch accuracy: 75.00, data load time: 0.00025, step time: 0.00943,
epoch: [2], step: [1337/1581], batch loss: 0.68278, batch accuracy: 75.00, data load time: 0.00021, step time: 0.00778,
epoch: [3], step: [56/1581], batch loss: 1.21353, batch accuracy: 65.62, data load time: 0.00018, step time: 0.00794,
epoch: [3], step: [356/1581], batch loss: 0.95461, batch accuracy: 62.50, data load time: 0.00024, step time: 0.00793,
epoch: [3], step: [656/1581], batch loss: 0.89044, batch accuracy: 56.25, data load time: 0.00021, step time: 0.00778,
epoch: [3], step: [956/1581], batch loss: 0.69521, batch accuracy: 65.62, data load time: 0.00021, step time: 0.00860,
epoch: [3], step: [1256/1581], batch loss: 0.74523, batch accuracy: 68.75, data load time: 0.00030, step time: 0.00774,
epoch: [3], step: [1556/1581], batch loss: 0.73347, batch accuracy: 68.75, data load time: 0.00011, step time: 0.00733,
epoch: [4], step: [275/1581], batch loss: 0.61003, batch accuracy: 78.12, data load time: 0.00021, step time: 0.01114,
epoch: [4], step: [575/1581], batch loss: 0.75581, batch accuracy: 71.88, data load time: 0.00023, step time: 0.00799,
epoch: [4], step: [875/1581], batch loss: 0.57743, batch accuracy: 84.38, data load time: 0.00021, step time: 0.00813,
epoch: [4], step: [1175/1581], batch loss: 0.55854, batch accuracy: 78.12, data load time: 0.00344, step time: 0.00899,
epoch: [4], step: [1475/1581], batch loss: 0.56330, batch accuracy: 81.25, data load time: 0.00115, step time: 0.02051,
validation loss: 1.24877, accuracy: 59.88, class_accuracy: [75.42372881355932, 84.21052631578948, 39.31623931623932, 51.32743362831859, 83.05084745762711, 48.62385321100918, 100.0, 81.41592920353982, 44.89795918367347, 32.20338983050848]
epoch: [5], step: [194/1581], batch loss: 0.71249, batch accuracy: 71.88, data load time: 0.00021, step time: 0.01052,
epoch: [5], step: [494/1581], batch loss: 0.82214, batch accuracy: 75.00, data load time: 0.00308, step time: 0.00840,
epoch: [5], step: [794/1581], batch loss: 0.66216, batch accuracy: 75.00, data load time: 0.00022, step time: 0.00805,
epoch: [5], step: [1094/1581], batch loss: 0.54585, batch accuracy: 78.12, data load time: 0.00030, step time: 0.01611,
epoch: [5], step: [1394/1581], batch loss: 0.47958, batch accuracy: 81.25, data load time: 0.00023, step time: 0.01104,
epoch: [6], step: [113/1581], batch loss: 0.48924, batch accuracy: 78.12, data load time: 0.00041, step time: 0.00797,
epoch: [6], step: [413/1581], batch loss: 0.42244, batch accuracy: 87.50, data load time: 0.00578, step time: 0.00931,
epoch: [6], step: [713/1581], batch loss: 0.31659, batch accuracy: 87.50, data load time: 0.00022, step time: 0.00799,
epoch: [6], step: [1013/1581], batch loss: 0.83375, batch accuracy: 84.38, data load time: 0.00022, step time: 0.00795,
epoch: [6], step: [1313/1581], batch loss: 0.48946, batch accuracy: 81.25, data load time: 0.00021, step time: 0.00791,
epoch: [7], step: [32/1581], batch loss: 0.38399, batch accuracy: 84.38, data load time: 0.00020, step time: 0.01158,
epoch: [7], step: [332/1581], batch loss: 0.56810, batch accuracy: 84.38, data load time: 0.00028, step time: 0.00917,
epoch: [7], step: [632/1581], batch loss: 0.44320, batch accuracy: 84.38, data load time: 0.00032, step time: 0.00776,
epoch: [7], step: [932/1581], batch loss: 0.56588, batch accuracy: 81.25, data load time: 0.00022, step time: 0.00885,
epoch: [7], step: [1232/1581], batch loss: 0.35683, batch accuracy: 87.50, data load time: 0.00299, step time: 0.00870,
epoch: [7], step: [1532/1581], batch loss: 0.76056, batch accuracy: 78.12, data load time: 0.00018, step time: 0.00795,
epoch: [8], step: [251/1581], batch loss: 0.40308, batch accuracy: 87.50, data load time: 0.00020, step time: 0.00902,
epoch: [8], step: [551/1581], batch loss: 0.58765, batch accuracy: 87.50, data load time: 0.00027, step time: 0.00963,
epoch: [8], step: [851/1581], batch loss: 0.42115, batch accuracy: 87.50, data load time: 0.00300, step time: 0.00808,
epoch: [8], step: [1151/1581], batch loss: 0.51093, batch accuracy: 81.25, data load time: 0.00023, step time: 0.00797,
epoch: [8], step: [1451/1581], batch loss: 0.52742, batch accuracy: 75.00, data load time: 0.00026, step time: 0.00838,
epoch: [9], step: [170/1581], batch loss: 0.26807, batch accuracy: 90.62, data load time: 0.00453, step time: 0.00869,
epoch: [9], step: [470/1581], batch loss: 0.46588, batch accuracy: 78.12, data load time: 0.00020, step time: 0.01014,
epoch: [9], step: [770/1581], batch loss: 0.58555, batch accuracy: 81.25, data load time: 0.00021, step time: 0.00786,
epoch: [9], step: [1070/1581], batch loss: 0.34780, batch accuracy: 93.75, data load time: 0.00270, step time: 0.00928,
